2014-11-25 03:34:43 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2014-11-25 03:34:43 install libaudit1:amd64 <none> 1:2.3.2-2ubuntu1
2014-11-25 03:34:43 status half-installed libaudit1:amd64 1:2.3.2-2ubuntu1
2014-11-25 03:34:43 status unpacked libaudit1:amd64 1:2.3.2-2ubuntu1
2014-11-25 03:34:43 status unpacked libaudit1:amd64 1:2.3.2-2ubuntu1
2014-11-25 03:34:43 install libblkid1:amd64 <none> 2.20.1-5.1ubuntu20
2014-11-25 03:34:43 status half-installed libblkid1:amd64 2.20.1-5.1ubuntu20
2014-11-25 03:34:44 status unpacked libblkid1:amd64 2.20.1-5.1ubuntu20
2014-11-25 03:34:44 status unpacked libblkid1:amd64 2.20.1-5.1ubuntu20
2014-11-25 03:34:44 install libbz2-1.0:amd64 <none> 1.0.6-5
2014-11-25 03:34:44 status half-installed libbz2-1.0:amd64 1.0.6-5
2014-11-25 03:34:44 status unpacked libbz2-1.0:amd64 1.0.6-5
2014-11-25 03:34:44 status unpacked libbz2-1.0:amd64 1.0.6-5
2014-11-25 03:34:45 install libc-bin:amd64 <none> 2.19-0ubuntu6
2014-11-25 03:34:45 status half-installed libc-bin:amd64 2.19-0ubuntu6
2014-11-25 03:34:45 status unpacked libc-bin:amd64 2.19-0ubuntu6
2014-11-25 03:34:45 status unpacked libc-bin:amd64 2.19-0ubuntu6
2014-11-25 03:34:45 upgrade libc6:amd64 2.19-0ubuntu6 2.19-0ubuntu6
2014-11-25 03:34:45 status half-configured libc6:amd64 2.19-0ubuntu6
2014-11-25 03:34:45 status unpacked libc6:amd64 2.19-0ubuntu6
2014-11-25 03:34:45 status half-installed libc6:amd64 2.19-0ubuntu6
2014-11-25 03:34:46 status half-installed libc6:amd64 2.19-0ubuntu6
2014-11-25 03:34:46 status unpacked libc6:amd64 2.19-0ubuntu6
2014-11-25 03:34:46 status unpacked libc6:amd64 2.19-0ubuntu6
2014-11-25 03:34:46 install libcap2:amd64 <none> 1:2.24-0ubuntu2
2014-11-25 03:34:46 status half-installed libcap2:amd64 1:2.24-0ubuntu2
2014-11-25 03:34:46 status unpacked libcap2:amd64 1:2.24-0ubuntu2
2014-11-25 03:34:46 status unpacked libcap2:amd64 1:2.24-0ubuntu2
2014-11-25 03:34:46 install libcgmanager0:amd64 <none> 0.24-0ubuntu5
2014-11-25 03:34:46 status half-installed libcgmanager0:amd64 0.24-0ubuntu5
2014-11-25 03:34:46 status unpacked libcgmanager0:amd64 0.24-0ubuntu5
2014-11-25 03:34:46 status unpacked libcgmanager0:amd64 0.24-0ubuntu5
2014-11-25 03:34:47 install libcomerr2:amd64 <none> 1.42.9-3ubuntu1
2014-11-25 03:34:47 status half-installed libcomerr2:amd64 1.42.9-3ubuntu1
2014-11-25 03:34:47 status unpacked libcomerr2:amd64 1.42.9-3ubuntu1
2014-11-25 03:34:47 status unpacked libcomerr2:amd64 1.42.9-3ubuntu1
2014-11-25 03:34:47 install libdb5.3:amd64 <none> 5.3.28-3ubuntu3
